Source,SubType,ID,AuthorUserName,AuthorDisplayName,AuthorId,Created,Message,ContentType,PhotoUrl,ContextUrl,Links,AuthorFollowerCount,PostImpressions(Organic),PostProjectedImpressions,SocialValue,PostReach,VideoViews,TotalPublicEngagements,LikeCount,Comments,Shares/Retweets,TotalEngagementsAndInteractions,TotalInteractions,EngagementRate,FollowerInteractionRate,EngagementAndInteractionRate,TWAuthorIsVerified,TWRetweetCount,TWReplyCount,TWEngagement,TWQuoteTweets,TWEngagementAndInteractions,TWAuthorCreated,FBPageLikeCount,FBCommentCount,FBShareCount,FBLikeCount,FBAngryCount,FBHahaCount,FBLoveCount,FBSadCount,FBWowCount,FBPaidImpressions,FBPaidReach,FBOrganicImpressions,FBOrganicReach,FBPostClicks,FBEngagement,FBEngagementAndInteractions,IGStoryTapsForward,IGStoryTapsBack,IGStoryExits,IGCommentCount,IGTotalEngagements,IGStoryReplies,IGSaveCount,TikTokEngagements,AvgConcurrentViewers,FollowersGained,PeakViewers,PeakViewerTime,StreamDuration,TotalLiveViews,VODViews,HoursWatched,Status,Tags,Campaign,Language,VideoViewsUS,PublicityValue,NumHouseholds,CountryFIPS,ProvinceFIPS,EmailAddress,OAuthedSource
Twitter,Twitter_Tweet,1.64665E+18,dallasmavsshop,Dallas Mavs Shop,2813757944,45029.96409,"🚨NEW DROP🚨
Shop this ""Cream"" of the Crop @swish41 Jersey NOW! 
📲: https://t.co/8osmes6JCC https://t.co/mZl4D79Fel",Photo,https://pbs.twimg.com/media/FtoU241WwAImh0f.jpg,https://twitter.com/dallasmavsshop/statuses/1646651552055152640,"https://go.mavs.com/trk/oVw4,https://twitter.com/dallasmavsshop/status/1646651552055152640/photo/1",5809,1206,1206,8,,,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,,0,41898.92494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Mavs Shop,,eng,,,,,,,
Twitter,Twitter_Tweet,1.64657E+18,dallasmavs,Dallas Mavericks,22185437,45029.75171,"JG has his sights set on next season. 

@att // #MFFL https://t.co/dMUve86Ivg",Video,https://pbs.twimg.com/amplify_video_thumb/1646574512433946625/img/msstVDHEFxghQYI7.jpg,https://twitter.com/dallasmavs/statuses/1646574589814743040,https://twitter.com/dallasmavs/status/1646574589814743040/video/1,2238089,44822,,1182,,7943,287,250,23,14,1776,1489,0.0064,0,0.03962,TRUE,14,23,287,0,1776,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
Twitter,Twitter_Reply,1.64625E+18,dallasmavs,Dallas Mavericks,22185437,45028.85575,https://t.co/L4zoVQWZ6U,Video,https://pbs.twimg.com/amplify_video_thumb/1646249767960207362/img/58T2ZU6L9M6RUoaD.jpg,https://twitter.com/dallasmavs/statuses/1646249902773616642,https://twitter.com/dallasmavs/status/1646249902773616642/video/1,2238092,30207,,687,,4851,149,138,1,10,906,757,0.0049,0,0.02999,TRUE,10,1,149,1,906,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,,,,,,,,
Twitter,Twitter_Tweet,1.64625E+18,dallasmavs,Dallas Mavericks,22185437,45028.85494,"Kai is a big part of the rook’s development 🤝 

@JadenHardy1 @KyrieIrving // #MFFL https://t.co/l0v7uOyaPu",Photo,https://pbs.twimg.com/media/FtinNPAWwAAKo0r.jpg,https://twitter.com/dallasmavs/statuses/1646249611797962755,https://twitter.com/dallasmavs/status/1646249611797962755/photo/1,2238093,92928,,2255,,,1225,1129,22,74,2560,1335,0.0132,0,0.02755,TRUE,74,22,1225,11,2560,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
Twitter,Twitter_Tweet,1.64624E+18,MavsOffCourt,Mavs Off-Court,60173043,45028.83892,"Celebrating time with Devin Harris ⌚️

We had a blast signing autographs and dancing with our MFFLs to celebrate @TISSOT's latest watch collection 🙌 https://t.co/OVNRNm9dpw",Photo,https://pbs.twimg.com/media/FtiiANZXsAMIUsi.jpg,https://twitter.com/MavsOffCourt/statuses/1646243806608605192,"https://twitter.com/i/web/status/1646243806608605192,https://twitter.com/MavsOffCourt/status/1646243806608605192/photo/1",15506,3219,3219,21,,,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,,0,40019.96355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,"Mavs Off Court,Text Mention:Tissot,Tissot",,eng,,,,,,,
Twitter,Twitter_Tweet,1.64617E+18,dallasmavs,Dallas Mavericks,22185437,45028.64634,"“He’s a special kid.”

Nico Harrison on Jaden Hardy.

@ATT | #MFFL https://t.co/1x8YbFml2Z",Video,https://pbs.twimg.com/amplify_video_thumb/1646173920003776517/img/G-CMb_ql11k1RCbd.jpg,https://twitter.com/dallasmavs/statuses/1646174016036564995,https://twitter.com/dallasmavs/status/1646174016036564995/video/1,2238089,56660,,1375,,9200,337,282,27,28,1522,1185,0.006,0,0.02686,TRUE,28,27,337,3,1522,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
Twitter,Twitter_Tweet,1.646E+18,dallasmavs,Dallas Mavericks,22185437,45028.16772,"Watch the full video from Nico Harrison’s media availability ⤵️

https://t.co/Xzotz9t6OU",Video,http://img.youtube.com/vi/BFnutPhIMZQ/0.jpg,https://twitter.com/dallasmavs/statuses/1646000570174521345,https://youtu.be/BFnutPhIMZQ,2237999,62117,,1200,,0,81,57,15,9,539,458,0.0013,0,0.00868,TRUE,9,15,81,1,539,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
Twitter,Twitter_Tweet,1.64596E+18,dallasmavs,Dallas Mavericks,22185437,45028.04266,"“When you have that talented of two players, they work together.”

Nico Harrison on Luka and Kyrie working together. 

@ATT | #MFFL https://t.co/bbsFZJHopn",Video,,https://twitter.com/dallasmavs/statuses/1645955249922793474,"https://twitter.com/i/web/status/1645955249922793474,https://twitter.com/dallasmavs/status/1645955249922793474/video/1",2238057,62246,,1531,,11888,253,215,19,19,1558,1305,0.0041,0,0.02503,TRUE,19,19,253,3,1558,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
Twitter,Twitter_Tweet,1.64592E+18,dallasmavs,Dallas Mavericks,22185437,45027.93641,"General Manager Nico Harrison held an end-of-season media availability today. 

A message for the fans ⤵️ (@att) https://t.co/GAQ8JlMmuo",Video,https://pbs.twimg.com/amplify_video_thumb/1645916666423922688/img/zIEEH2nM-xicCnMW.jpg,https://twitter.com/dallasmavs/statuses/1645916744182013953,https://twitter.com/dallasmavs/status/1645916744182013953/video/1,2238015,103778,,2809,,22119,442,341,66,35,4011,3569,0.0043,0,0.03865,TRUE,35,66,442,12,4011,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
Twitter,Twitter_Retweet,1.64586E+18,dallasmavs,Dallas Mavericks,22185437,45027.78564,Dallas I know the year ain’t go like we wanted it to but everything happens for a reason. First time in 8 years I haven’t been in the playoffs! Coming back next year for everything we didn’t get! See y’all soon! 🤞🏾🤞🏾,Text,,https://twitter.com/dallasmavs/statuses/1645862107466944531,"https://twitter.com/keefmorris/status/1645853896588378112,https://twitter.com/i/web/status/1645853896588378112",2238007,,,0,,,0,0,0,0,0,0,,0,,TRUE,0,0,0,,0,39871.85145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pending,Dallas Mavs,,eng,,,,,,,
